Date,Race Number,Place,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declare. Horse Wt.,Draw,LBW,Running Position,Finish Time,Win Odds
15/07/2020,1,1,12,MONEY WINNERMONEY WINNER(A055),C WongC Wong,Y S TsuiY S Tsui,108,1027,7,-,"['12', '12', '12', '12', '1']",1:49.79,22
15/07/2020,1,2,2,BUNDLE OF ENERGYBUNDLE OF ENERGY(B279),Z PurtonZ Purton,D J HallD J Hall,130,1142,10,HD,"['9', '11', '11', '10', '2']",1:49.82,3.7
15/07/2020,1,3,4,BABY STORMBABY STORM(C500),C L ChauC L Chau,L HoL Ho,119,1044,12,1-1/4,"['1', '1', '1', '1', '3']",1:49.99,10
15/07/2020,1,4,3,HAY RUNHAY RUN(V337),V BorgesV Borges,L HoL Ho,130,1107,11,1-3/4,"['5', '3', '2', '2', '4']",1:50.05,10
15/07/2020,1,5,11,MONEY MARSHALMONEY MARSHAL(B134),H T MoH T Mo,D E FerrarisD E Ferraris,110,1153,8,2-3/4,"['11', '9', '6', '3', '5']",1:50.21,16
15/07/2020,1,6,7,SUCCESS ALLSTARSSUCCESS ALLSTARS(D065),H W LaiH W Lai,D E FerrarisD E Ferraris,127,963,6,3-1/2,"['10', '10', '10', '11', '6']",1:50.34,120
15/07/2020,1,7,10,BRING IT ONBRING IT ON(V407),T H SoT H So,C H YipC H Yip,118,1160,1,3-3/4,"['3', '4', '3', '5', '7']",1:50.37,13
15/07/2020,1,8,8,KEEP WINNINGKEEP WINNING(B331),M L YeungM L Yeung,C W ChangC W Chang,122,1139,4,4,"['6', '5', '5', '7', '8']",1:50.41,32
15/07/2020,1,9,9,GREAT SMARTGREAT SMART(C319),M ChadwickM Chadwick,K L ManK L Man,121,1213,5,4,"['4', '6', '8', '8', '9']",1:50.43,3.9
15/07/2020,1,10,6,TURF BRILLIANTTURF BRILLIANT(C456),K TeetanK Teetan,W Y SoW Y So,129,1111,3,4-1/4,"['7', '8', '9', '6', '10']",1:50.45,5.8
15/07/2020,1,11,1,POLYMER LUCKPOLYMER LUCK(T326),C SchofieldC Schofield,K H TingK H Ting,133,1077,9,4-1/2,"['2', '2', '4', '4', '11']",1:50.53,13
15/07/2020,1,12,5,JOY N FUN LEGENDJOY N FUN LEGEND(D012),K C LeungK C Leung,T P YungT P Yung,129,1138,2,5,"['8', '7', '7', '9', '12']",1:50.59,47
15/07/2020,2,1,4,OVERSUBSCRIBEDOVERSUBSCRIBED(C361),Z PurtonZ Purton,D J HallD J Hall,131,1139,2,-,"['5', '3', '1']",0:57.27,5.1
15/07/2020,2,2,5,CHUNGHWA JINGSHENCHUNGHWA JINGSHEN(D148),B ShinnB Shinn,L HoL Ho,127,1118,5,N,"['6', '6', '2']",0:57.33,11
15/07/2020,2,3,9,SHOW MISSIONSHOW MISSION(T436),K C LeungK C Leung,C W ChangC W Chang,120,1120,11,1/2,"['9', '7', '3']",0:57.37,30
15/07/2020,2,4,3,VITAL SPRINGVITAL SPRING(A057),C Y HoC Y Ho,K W LuiK W Lui,132,1143,7,1/2,"['10', '10', '4']",0:57.37,7.3
15/07/2020,2,5,6,LA BOMBALA BOMBA(B143),C L ChauC L Chau,K L ManK L Man,114,1083,1,1-1/4,"['8', '9', '5']",0:57.46,4.7
15/07/2020,2,6,10,JIMSON THE DRAGONJIMSON THE DRAGON(C017),K H ChanK H Chan,C H YipC H Yip,111,1028,10,2,"['7', '8', '6']",0:57.59,25
